dgbas_id,name
1000110-019,民生里
1000110-020,八勢里
1000110-021,竿蓁里
1000110-022,鄧公里
1000110-023,中興里
1000110-024,長庚里
1000110-025,清文里
1000110-026,草東里
1000110-027,協元里
1000110-028,永吉里
1000110-029,民安里
1000110-030,新生里
1000110-031,文化里
1000110-032,油車里
1000110-033,沙崙里
1000110-034,新義里
1000110-035,新春里
1000110-036,新民里
1000110-037,正德里
1000110-038,北新里
1000110-039,民權里
1000110-040,幸福里
1000110-041,學府里
1000110-042,大庄里
1000111-001,義民里
1000111-002,禮門里
1000111-003,智慧里
1000111-004,信望里
1000111-005,橋東里
1000111-006,秀峰里
1000111-007,新昌里
1000111-008,復興里
1000111-009,茄苳里
1000111-010,長安里
1000111-011,保安里
1000111-012,保長里
1000111-013,鄉長里
1000111-014,江北里
1000111-015,拱北里
1000111-016,烘內里
1000111-017,八連里
1000111-018,樟樹里
1000111-019,北峰里
1000111-020,北山里
1000111-021,白雲里
1000111-022,橫科里
1000111-023,東山里
1000111-024,福山里
1000111-025,宜興里
1000111-026,中興里
1000111-027,湖光里
1000111-028,仁德里
1000111-029,厚德里
1000111-030,忠孝里
1000111-031,自強里
1000111-032,文化里
1000111-033,金龍里
1000111-034,福德里
1000111-035,興福里
1000111-036,康福里
1000111-037,忠山里
1000111-038,環河里
1000111-039,東勢里
1000111-040,山光里
1000111-041,大同里
1000111-042,崇德里
1000111-043,湖興里
1000111-044,長青里
1000111-045,福安里
1000111-046,秀山里
1000111-047,建成里
1000111-048,城中里
1000111-049,湖蓮里
1000111-050,保新里
1000112-001,龍潭里
1000112-002,龍興里
1000112-003,龍鎮里
1000112-004,龍川里
1000112-005,龍山里
1000112-006,龍安里
1000112-007,爪峯里
1000112-008,柑坪里
1000112-009,東和里
